iter	Passed	Remaining
354	557582	15148963
355	558760	15136766
356	560432	15137956
357	561837	15131937
358	563323	15128141
359	564881	15126283
360	566914	15137098
361	568615	15138987
362	570611	15148711
363	572795	15163336
364	574397	15162523
365	575714	15154197
366	577419	15156092
367	579539	15168809
368	581292	15171888
369	583851	15195916
370	585549	15197465
371	587197	15197692
372	588705	15194294
373	590205	15190681
374	591839	15190535
375	593366	15187652
376	594800	15182394
377	596427	15182072
378	597890	15177584
379	599267	15170942
380	600658	15164647
381	602114	15160042
382	603651	15157487
383	605367	15159421
384	606787	15153931
385	608304	15150875
386	609969	15151511
387	611591	15151085
388	613108	15148031
389	614498	15141867
390	616168	15142614
391	617693	15139797
392	620228	15161670
393	620968	15139652
394	622368	15133798
395	623918	15131608
396	625510	15130432
397	626936	15125243
398	628476	15122807
399	629981	15119562
400	631579	15118542
401	633037	15114155
402	634547	15111054
403	636109	15109177
404	637941	15113688
405	639507	15111904
406	641532	15120926
407	643165	15120692
408	644687	15117853
409	646290	15116902
410	648006	15118577
411	649506	15115214
412	651001	15111740
413	652588	15110410
414	653828	15101084
415	655954	15112182
416	657429	15108263
417	658962	15105697
418	660513	15103532
419	662754	15117117
420	664360	15116163
421	665909	15113947
422	667491	15112457
423	669070	15110892
424	671289	15123755
425	672939	15123762
426	674245	15116056
427	676488	15129310
428	677981	15125773
429	679817	15129897
430	681330	15126808
431	682943	15125935
432	684562	15125203
433	686236	15125668
434	687917	15126288
435	689601	15126937
436	691461	15131465
437	693197	15133237
438	694825	15132642
439	696471	15132419
440	698184	15133665
441	699827	15133363
442	701338	15130237
443	702785	15125706
444	704725	15131793
445	705679	15116731
446	707200	15113846
447	708707	15110656
448	710212	15107441
449	711731	15104530
450	713283	15102315
451	714659	15096393
452	716248	15094974
453	717759	15091920
454	719280	15089077
455	720692	15083965
456	722198	15080831
457	723788	15079451
458	725231	15075012
459	726847	15074186
460	728374	15071513
461	729892	15068636
462	731351	15064582
463	732778	15059855
464	734885	15069098
465	736378	15065729
466	737914	15063242
467	739413	15060022
468	740846	15055460
469	742475	15054879
470	744020	15052591
471	745666	15052351
472	747129	15048414
473	749192	15056554
474	750880	15057120
475	752392	15054165
476	754534	15063793
477	756081	15061532
478	757596	15058619
479	759136	15056208
480	760756	15055378
481	762217	15051420
482	764255	15058843
483	765719	15054925
484	767173	15050840
