iter	Passed	Remaining
0	26	2671
1	59	2901
2	83	2707
3	95	2295
4	102	1955
5	116	1818
6	128	1700
7	190	2191
8	209	2115
9	229	2062
10	236	1915
11	263	1930
12	289	1936
13	325	1996
14	337	1911
15	349	1833
16	385	1882
17	397	1809
18	425	1813
19	451	1804
20	462	1739
21	477	1691
22	506	1694
23	539	1707
24	562	1688
25	570	1622
26	578	1564
27	609	1568
28	628	1539
29	644	1503
30	651	1451
31	683	1452
32	692	1405
33	725	1408
34	747	1388
35	755	1343
36	765	1302
37	776	1267
38	802	1255
39	824	1236
40	854	1229
41	884	1221
42	901	1195
43	933	1188
44	954	1166
45	967	1135
46	982	1108
47	1012	1097
48	1025	1067
49	1040	1040
50	1052	1011
51	1068	986
52	1084	962
53	1092	930
54	1121	917
55	1133	890
56	1160	875
57	1169	847
58	1202	835
59	1220	813
60	1228	785
61	1245	763
62	1272	747
63	1302	732
64	1314	708
65	1343	692
66	1356	668
67	1385	651
68	1405	631
69	1433	614
70	1462	597
71	1478	574
72	1506	557
73	1523	535
74	1539	513
75	1553	490
76	1560	466
77	1580	445
78	1600	425
79	1609	402
80	1637	384
81	1667	365
82	1678	343
83	1695	322
84	1702	300
85	1716	279
86	1747	261
87	1782	243
88	1801	222
89	1830	203
90	1861	184
91	1890	164
92	1922	144
93	1952	124
94	1985	104
95	2018	84
96	2052	63
97	2085	42
98	2103	21
99	2135	0
